Note,seconds,offset,duration,measure,Tie,Ghost,NoteValue
F#,62.94117647058838,3.0,<music21.duration.Duration 0.5>,27,,False,0.5
A,63.23529411764721,3.5,<music21.duration.Duration 0.25>,27,,False,0.25
A#,63.38235294117662,3.75,<music21.duration.Duration 0.25>,27,,False,0.25
B,63.52941176470603,0.0,<music21.duration.Duration 0.25>,28,,False,0.25
A,63.676470588235446,0.25,<music21.duration.Duration 0.25>,28,,False,0.25
F#,63.82352941176486,0.5,<music21.duration.Duration 0.25>,28,,False,0.25
B,64.11764705882368,1.0,<music21.duration.Duration 0.75>,28,,False,0.75
B,64.70588235294132,2.0,<music21.duration.Duration 0.5>,28,,False,0.5
B,65.00000000000014,2.5,<music21.duration.Duration 0.5>,28,,False,0.5
A,65.29411764705897,3.0,<music21.duration.Duration 0.25>,28,,False,0.25
A,65.44117647058837,3.25,<music21.duration.Duration 0.25>,28,,False,0.25
G#,65.58823529411778,3.5,<music21.duration.Duration 0.25>,28,,False,0.25
G,65.73529411764719,3.75,<music21.duration.Duration 0.25>,28,,False,0.25
F#,65.88235294117659,0.0,<music21.duration.Duration 0.5>,29,,False,0.5
F#,66.17647058823542,0.5,<music21.duration.Duration 0.5>,29,<music21.tie.Tie start>,False,0.5
A,66.91176470588248,1.75,<music21.duration.Duration 0.25>,29,<music21.tie.Tie start>,False,0.25
A,67.35294117647071,2.5,<music21.duration.Duration 0.5>,29,,False,0.5
C#,67.64705882352953,3.0,<music21.duration.Duration 0.5>,29,,False,0.5
C,67.94117647058836,3.5,<music21.duration.Duration 0.5>,29,,False,0.5
B,68.23529411764719,0.0,<music21.duration.Duration 0.25>,30,,False,0.25
B,68.38235294117659,0.25,<music21.duration.Duration 0.5>,30,,False,0.5
B,68.67647058823542,0.75,<music21.duration.Duration 0.25>,30,,False,0.25
A,68.82352941176482,1.0,<music21.duration.Duration 0.75>,30,,False,0.75
A,69.26470588235306,1.75,<music21.duration.Duration 0.25>,30,,False,0.25
G#,69.41176470588246,2.0,<music21.duration.Duration 0.75>,30,,False,0.75
A,69.8529411764707,2.75,<music21.duration.Duration 0.25>,30,,False,0.25
G,70.0000000000001,3.0,<music21.duration.Duration 0.75>,30,,False,0.75
F#,70.58823529411774,0.0,<music21.duration.Duration 0.5>,31,,False,0.5
F#,70.88235294117656,0.5,<music21.duration.Duration 0.5>,31,<music21.tie.Tie start>,False,0.5
F#,71.61764705882362,1.75,<music21.duration.Duration 0.25>,31,<music21.tie.Tie start>,False,0.25
A,72.05882352941185,2.5,<music21.duration.Duration 0.5>,31,,False,0.5
C#,72.35294117647068,3.0,<music21.duration.Duration 0.5>,31,,False,0.5
C,72.6470588235295,3.5,<music21.duration.Duration 0.5>,31,,False,0.5
B,72.94117647058833,0.0,<music21.duration.Duration 1.5>,32,,False,1.5
D#,73.8235294117648,1.5,<music21.duration.Duration 0.5>,32,<music21.tie.Tie start>,False,0.5
E,74.26470588235303,2.25,<music21.duration.Duration 0.5>,32,,False,0.5
F#,74.70588235294126,3.0,<music21.duration.Duration 0.5>,32,,False,0.5
B,75.00000000000009,3.5,<music21.duration.Duration 0.25>,32,,False,0.25
E#,75.14705882352949,3.75,<music21.duration.Duration 0.25>,32,,False,0.25
F#,75.2941176470589,0.0,<music21.duration.Duration 0.5>,33,,False,0.5
F#,75.58823529411772,0.5,<music21.duration.Duration 0.5>,33,<music21.tie.Tie start>,False,0.5
C#,76.32352941176478,1.75,<music21.duration.Duration 0.25>,33,,False,0.25
F#,76.47058823529419,2.0,<music21.duration.Duration 0.75>,33,,False,0.75
C#,76.91176470588242,2.75,<music21.duration.Duration 0.25>,33,<music21.tie.Tie start>,False,0.25
C,77.35294117647065,3.5,<music21.duration.Duration 0.5>,33,,False,0.5
B,77.64705882352948,0.0,<music21.duration.Duration 1.75>,34,,False,1.75
B,78.82352941176477,2.0,<music21.duration.Duration 0.75>,34,,False,0.75
C#,79.264705882353,2.75,<music21.duration.Duration 0.25>,34,<music21.tie.Tie start>,False,0.25
D#,79.70588235294123,3.5,<music21.duration.Duration 0.5>,34,,False,0.5
E,80.00000000000006,0.0,<music21.duration.Duration 1.75>,35,,False,1.75
E,81.17647058823535,2.0,<music21.duration.Duration 0.75>,35,,False,0.75
F#,81.61764705882358,2.75,<music21.duration.Duration 0.25>,35,<music21.tie.Tie start>,False,0.25
G#,82.05882352941181,3.5,<music21.duration.Duration 0.25>,35,,False,0.25
C#,82.35294117647062,0.0,<music21.duration.Duration 0.5>,36,,False,0.5
C#,82.64705882352945,0.5,<music21.duration.Duration 0.5>,36,<music21.tie.Tie start>,False,0.5
G#,83.52941176470591,2.0,<music21.duration.Duration 0.5>,36,,False,0.5
C#,83.82352941176474,2.5,<music21.duration.Duration 0.5>,36,,False,0.5
B,84.11764705882356,3.0,<music21.duration.Duration 0.5>,36,,False,0.5
C#,84.41176470588239,3.5,<music21.duration.Duration 0.5>,36,,False,0.5
E,84.70588235294122,0.0,<music21.duration.Duration 2.0>,37,,False,2.0
E,85.8823529411765,2.0,<music21.duration.Duration 0.75>,37,,False,0.75
F#,86.32352941176474,2.75,<music21.duration.Duration 0.25>,37,<music21.tie.Tie start>,False,0.25
G#,86.76470588235297,3.5,<music21.duration.Duration 0.25>,37,,False,0.25
C#,87.05882352941178,0.0,<music21.duration.Duration 2.0>,38,<music21.tie.Tie start>,False,2.0
C#,88.5294117647059,2.5,<music21.duration.Duration 0.25>,38,,False,0.25
C#,88.6764705882353,2.75,<music21.duration.Duration 0.25>,38,,False,0.25
C,88.82352941176471,3.0,<music21.duration.Duration 0.25>,38,,False,0.25
C,88.97058823529412,3.25,<music21.duration.Duration 0.25>,38,,False,0.25
B,89.11764705882352,3.5,<music21.duration.Duration 0.25>,38,,False,0.25
B,89.26470588235293,3.75,<music21.duration.Duration 0.25>,38,,False,0.25
A,89.41176470588233,0.0,<music21.duration.Duration 0.5>,39,,False,0.5
A,89.70588235294116,0.5,<music21.duration.Duration 0.5>,39,<music21.tie.Tie start>,False,0.5
E,90.44117647058822,1.75,<music21.duration.Duration 0.25>,39,<music21.tie.Tie start>,False,0.25
A,90.73529411764703,2.25,<music21.duration.Duration 0.5>,39,,False,0.5
E,91.02941176470586,2.75,<music21.duration.Duration 0.25>,39,,False,0.25
A,91.17647058823526,3.0,<music21.duration.Duration 0.5>,39,,False,0.5
E,91.47058823529409,3.5,<music21.duration.Duration 0.5>,39,,False,0.5
A,91.76470588235291,0.0,<music21.duration.Duration 0.5>,40,,False,0.5
A,92.05882352941174,0.5,<music21.duration.Duration 0.5>,40,<music21.tie.Tie start>,False,0.5
E,92.7941176470588,1.75,<music21.duration.Duration 0.25>,40,,False,0.25
A,92.9411764705882,2.0,<music21.duration.Duration 0.75>,40,,False,0.75
E,93.38235294117644,2.75,<music21.duration.Duration 0.25>,40,,False,0.25
A,93.52941176470584,3.0,<music21.duration.Duration 0.5>,40,,False,0.5
E,93.82352941176467,3.5,<music21.duration.Duration 0.5>,40,,False,0.5
A,94.1176470588235,0.0,<music21.duration.Duration 0.5>,41,,False,0.5
A,94.41176470588232,0.5,<music21.duration.Duration 0.5>,41,<music21.tie.Tie start>,False,0.5
E,95.14705882352938,1.75,<music21.duration.Duration 0.25>,41,<music21.tie.Tie start>,False,0.25
A,95.44117647058819,2.25,<music21.duration.Duration 0.5>,41,,False,0.5
E,95.73529411764702,2.75,<music21.duration.Duration 0.25>,41,,False,0.25
A,95.88235294117642,3.0,<music21.duration.Duration 0.5>,41,,False,0.5
E,96.17647058823525,3.5,<music21.duration.Duration 0.5>,41,,False,0.5
A,96.47058823529407,0.0,<music21.duration.Duration 0.5>,42,,False,0.5
A,96.7647058823529,0.5,<music21.duration.Duration 0.5>,42,<music21.tie.Tie start>,False,0.5
E,97.49999999999996,1.75,<music21.duration.Duration 0.25>,42,<music21.tie.Tie start>,False,0.25
A,97.79411764705877,2.25,<music21.duration.Duration 0.5>,42,,False,0.5
E,98.0882352941176,2.75,<music21.duration.Duration 0.25>,42,,False,0.25
A,98.235294117647,3.0,<music21.duration.Duration 0.5>,42,,False,0.5
E,98.52941176470583,3.5,<music21.duration.Duration 0.5>,42,,False,0.5
A,98.82352941176465,0.0,<music21.duration.Duration 0.5>,43,,False,0.5
A,99.11764705882348,0.5,<music21.duration.Duration 0.5>,43,<music21.tie.Tie start>,False,0.5
